,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
149,18/1/2022 7:00,293.6,53.810895,30.25,18.92,80.26,2.48,4.0344
150,18/1/2022 8:00,880,274.3311675,31.75,20.59,74,3.18,127.8308
151,18/1/2022 9:00,1420,526.40635,33.25,22.26,67.74,3.95,355.2861
152,18/1/2022 10:00,1756,645.95735,35,23.92,61.47,4.74,545.7768
153,18/1/2022 11:00,2072,811.62275,36.75,25.52,56.33,4.66,706.6776
154,18/1/2022 12:00,2112,834.1296,37,27.11,51.18,4.57,822.5637
155,18/1/2022 13:00,1988,784.43,37.75,28.7,46.03,4.49,840.6354
156,18/1/2022 14:00,1716,673.36865,38.25,29.09,44.08,4.27,795.1758
157,18/1/2022 15:00,1256,495.005225,38.75,29.48,42.13,4.05,690.1329
158,18/1/2022 16:00,628,267.759575,38,29.87,40.17,3.85,503.3205
159,18/1/2022 17:00,120,61.75831,38,28.33,44.7,3.44,298.2203
160,19/1/2022 7:00,286.8,41.695555,29.25,17.03,77.39,2.18,4.1233
161,19/1/2022 8:00,926.4,284.439445,30,18.96,70.29,3.03,128.9299
162,19/1/2022 9:00,1488,558.85155,31.5,20.88,63.2,3.88,360.1392
163,19/1/2022 10:00,1908,727.31715,33,22.81,56.1,4.74,552.1818
164,19/1/2022 11:00,2116,820.241875,34.75,24.38,51.94,4.71,714.0168
165,19/1/2022 12:00,2140,838.710275,35.75,25.96,47.77,4.67,830.2203
166,19/1/2022 13:00,2028,791.6328,36.25,27.53,43.6,4.64,849.549
167,19/1/2022 14:00,1740,674.7202,36.25,27.7,43.31,4.24,804.7278
168,19/1/2022 15:00,1268,495.053775,35.25,27.86,43.01,3.85,699.4938
169,19/1/2022 16:00,644,274.832925,36.75,28.02,42.72,3.48,512.553
170,19/1/2022 17:00,124,63.878699,37,26.51,47.52,3.27,305.5053
171,20/1/2022 7:00,275.2,51.1320875,29.75,18.12,80.1,2.31,4.2204
172,20/1/2022 8:00,819.2,276.192595,30.75,20.17,72.19,2.56,127.236
173,20/1/2022 9:00,0,530.77665,32.75,22.22,64.27,2.82,361.5252
174,20/1/2022 10:00,0,706.679775,34.75,24.27,56.36,3.07,554.5161
175,20/1/2022 11:00,528,808.668775,37.25,25.86,51.53,2.91,716.5215
176,20/1/2022 12:00,2100,830.8357,38,27.44,46.7,2.83,832.3527
177,20/1/2022 13:00,2004,801.0127,38.75,29.03,41.87,2.84,843.2472
178,20/1/2022 14:00,1736,702.11525,39.25,29.34,40.07,2.28,790.7049
179,20/1/2022 15:00,1232,487.72145,39,29.65,38.27,2.01,680.4744
180,20/1/2022 16:00,592,254.940175,39.25,29.96,36.48,2.13,458.9787
181,20/1/2022 17:00,104,49.4244445,39,28.68,39.77,2.25,247.333
182,21/1/2022 7:00,20.8,7.26758725,32,21.03,85.41,1.83,0.287
183,21/1/2022 8:00,132.4,44.35818,32,21.09,86.15,2.31,9.2753
184,21/1/2022 9:00,292,96.331955,32,21.15,86.89,2.8,25.7228
185,21/1/2022 10:00,328,109.21614,31.5,21.22,87.62,3.29,90.4937
186,21/1/2022 11:00,672,230.094375,32,23.22,77.8,3.23,177.7181
187,21/1/2022 12:00,1284,492.17265,33.75,25.23,67.97,3.31,271.7636
188,21/1/2022 13:00,1652,670.139475,35.25,27.24,58.14,3.51,418.9419
189,21/1/2022 14:00,1596,649.03275,35.5,27.58,56.03,2.27,532.0884
190,21/1/2022 15:00,1128,459.03955,37.25,27.92,53.92,2.3,581.9421
191,21/1/2022 16:00,448,194.3148475,37.75,28.26,51.81,3.57,436.2573
192,21/1/2022 17:00,132,56.26310375,37.25,26.93,57.1,2.28,267.6274
193,22/1/2022 7:00,176,63.045095,31.75,20.73,86.72,1.12,3.9048
194,22/1/2022 8:00,764,284.7065,32.25,22.62,78.54,1.16,125.6283
195,22/1/2022 9:00,1096,405.0506,34.5,24.51,70.37,1.25,352.5183
196,22/1/2022 10:00,1716,688.316525,37.25,26.4,62.19,1.41,534.4416
197,22/1/2022 11:00,1936,811.307075,40.25,27.66,56.81,1.45,683.7504
198,22/1/2022 12:00,2060,871.568175,42.25,28.93,51.42,2.11,787.2291
199,22/1/2022 13:00,1212,490.311225,42.25,30.2,46.03,2.99,624.3669
200,22/1/2022 14:00,476,177.635025,41.25,29.51,48.22,1.91,417.7317
201,22/1/2022 15:00,1004,399.029325,39.5,28.82,50.41,1.1,210.2201
202,22/1/2022 16:00,504,219.702865,37.25,28.13,52.59,1.26,132.7372
